pagina,titulo,preco,estado,cidade,bairro,url,data_publicacao,data_pesquisa
5,Fiat strada 2021 ,82500.0,RJ,Rio de Janeiro,Abolição,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2021-1173020273,2023-04-14 17:43:42,2023-04-14 17:55:06
5,Gol turbo,15000.0,PR,Campo Magro,,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/gol-turbo-1173020186,2023-04-14 17:43:22,2023-04-14 17:55:07
5,SW4 Diesel SRV,138000.0,GO,Silvânia,,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/sw4-diesel-srv-1173020232,2023-04-14 17:43:32,2023-04-14 17:55:07
5,Tucson 2009/2010 Automática,26000.0,AL,Maceió,Ponta Verde,https://al.olx.com.br/alagoas/autos-e-pecas/carros-vans-e-utilitarios/tucson-2009-2010-automatica-1173020179,2023-04-14 17:43:21,2023-04-14 17:55:07
5,VW Gol 1.0 G5 Trend 2011 - Prata - Completo!!!,26000.0,SP,Guarulhos,Jardim Guilhermino,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/vw-gol-1-0-g5-trend-2011-prata-completo-1173020184,2023-04-14 17:43:21,2023-04-14 17:55:08
5,Toyota/ Hilux Srv 3.0 2015 - Cabine Simples Carroceria.,125000.0,PR,Colombo,Santa Terezinha,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-srv-3-0-2015-cabine-simples-carroceria-1173020172,2023-04-14 17:43:19,2023-04-14 17:55:08
5,Chevrolet Spin LT 1.8 2014,46900.0,SC,Joinville,Santa Catarina,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-spin-lt-1-8-2014-1173020159,2023-04-14 17:43:12,2023-04-14 17:55:08
5,Hilux Sw4 2017,243000.0,PR,Siqueira Campos,,https://pr.olx.com.br/regiao-de-londrina/autos-e-pecas/carros-vans-e-utilitarios/hilux-sw4-2017-1086389345,2023-04-14 17:43:16,2023-04-14 17:55:08
6,Logan Expression 1.6 2011,25999.0,SP,São Paulo,Cambuci,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/logan-expression-1-6-2011-1173020364,2023-04-14 17:44:03,2023-04-14 17:55:11
6,Spin 2019/2020 1.8 Premier 8V Flex 4P,81900.0,SP,Ribeirão Preto,República,https://sp.olx.com.br/regiao-de-ribeirao-preto/autos-e-pecas/carros-vans-e-utilitarios/spin-2019-2020-1-8-premier-8v-flex-4p-1162744941,2023-04-14 17:44:02,2023-04-14 17:55:11
6,HILUX 2.7 SRV 4x2 CD FLEX 2015,114990.0,SP,Campinas,Jardim Chapadão,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/hilux-2-7-srv-4x2-cd-flex-2015-1173020369,2023-04-14 17:44:05,2023-04-14 17:55:11
6,Hilux CD SRV 2.8 turbo diesel 4x4 2017,199000.0,MG,Piraúba,,https://mg.olx.com.br/regiao-de-juiz-de-fora/autos-e-pecas/carros-vans-e-utilitarios/hilux-cd-srv-2-8-turbo-diesel-4x4-2017-1160793948,2023-04-14 17:44:02,2023-04-14 17:55:11
6,ONIX 1.4 LTZ 2015 Luiz Marccatto,50989.0,ES,Vila Velha,Divino Espírito Santo,https://es.olx.com.br/norte-do-espirito-santo/autos-e-pecas/carros-vans-e-utilitarios/onix-1-4-ltz-2015-luiz-marccatto-1155147895,2023-04-14 17:44:03,2023-04-14 17:55:11
6,Fiat Palio Weekend em perfeito estado ,30500.0,SP,Birigüi,Parque das Paineiras,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/fiat-palio-weekend-em-perfeito-estado-1173020371,2023-04-14 17:44:05,2023-04-14 17:55:11
6,Volkswagen Polo Track 1.0 MPI (Flex),76900.0,DF,Brasília,Setor Industrial (Gama),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/volkswagen-polo-track-1-0-mpi-flex-1167504710,2023-04-14 17:44:03,2023-04-14 17:55:11
6,Santa fé ,40000.0,SC,Blumenau,Itoupava Central,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/santa-fe-1173020370,2023-04-14 17:44:05,2023-04-14 17:55:11
6,Toyota Yaris XLS  completo,69900.0,RJ,Rio de Janeiro,Barra da Tijuca,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/toyota-yaris-xls-completo-1173020357,2023-04-14 17:44:02,2023-04-14 17:55:12
6,Chevrolet S10 Cabine Dupla S10 2.8 CTDI High Country 4WD (Cabine Dupla) (Aut),309992.0,GO,Goiânia,Setor Bueno,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/chevrolet-s10-cabine-dupla-s10-2-8-ctdi-high-country-4wd-cabine-dupla-aut-1080861248,2023-04-14 17:44:01,2023-04-14 17:55:12
6,Peugeot 208 ACTIVE 1.6 AUTOMATICO FLEX 5P,75990.0,SP,Campinas,Jardim Nossa Senhora Auxiliadora,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/peugeot-208-active-1-6-automatico-flex-5p-1124862104,2023-04-14 17:44:00,2023-04-14 17:55:12
6,Amarok v6 high 3.0 18/18***Vídeo no anuncio***,169900.0,DF,Brasília,Zona Industrial (Guará),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/amarok-v6-high-3-0-18-18-video-no-anuncio-1150289615,2023-04-14 17:44:01,2023-04-14 17:55:12
6,L200 Triton Savana 3.2 Diesel Ano 2013,125900.0,DF,Brasília,Ceilândia Norte (Ceilândia),https://df.olx.com.br/distrito-federal-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/l200-triton-savana-3-2-diesel-ano-2013-1169146110,2023-04-14 17:44:01,2023-04-14 17:55:12
6,C4 CACTUS FEEL AT - SHARLES KLAYTON ,93990.0,PA,Belém,Fátima,https://pa.olx.com.br/regiao-de-belem/autos-e-pecas/carros-vans-e-utilitarios/c4-cactus-feel-at-sharles-klayton-1163105576,2023-04-14 17:44:01,2023-04-14 17:55:12
6,Corolla Xei 2.0 AUT.,105900.0,RS,Porto Alegre,Jardim Lindóia,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2-0-aut-1168456532,2023-04-14 17:44:00,2023-04-14 17:55:12
6,NOVISSIMA CAPTUR INTENSE 1.6 - 2019 - CVT,82990.0,MG,Contagem,Três Barras,https://mg.olx.com.br/belo-horizonte-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/novissima-captur-intense-1-6-2019-cvt-1153109845,2023-04-14 17:44:00,2023-04-14 17:55:12
6,Corolla xei 2.0 Ano 2019-19 único dono branco perola 36 mil km,116000.0,SP,Osvaldo Cruz,,https://sp.olx.com.br/regiao-de-presidente-prudente/autos-e-pecas/carros-vans-e-utilitarios/corolla-xei-2-0-ano-2019-19-unico-dono-branco-perola-36-mil-km-1137310712,2023-04-14 17:44:00,2023-04-14 17:55:12
6,FORD ECOSPORT 1.6 FREESTYLE 16V FLEX 4P MANUAL,58900.0,SP,Campinas,Jardim do Lago,https://sp.olx.com.br/grande-campinas/autos-e-pecas/carros-vans-e-utilitarios/ford-ecosport-1-6-freestyle-16v-flex-4p-manual-1171176888,2023-04-14 17:44:00,2023-04-14 17:55:13
6,Ford KA - SE 1.0 - 19/20 - Flex - 4P - Manual,53300.0,PR,Toledo,Jardim La Salle,https://pr.olx.com.br/regiao-de-foz-do-iguacu-e-cascavel/autos-e-pecas/carros-vans-e-utilitarios/ford-ka-se-1-0-19-20-flex-4p-manual-1173020317,2023-04-14 17:43:52,2023-04-14 17:55:13
6,Santa fé V6,90000.0,SC,São Francisco do Sul,,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/santa-fe-v6-1173020345,2023-04-14 17:43:59,2023-04-14 17:55:13
6,308 com teto panoramico,44800.0,SC,Joinville,Floresta,https://sc.olx.com.br/norte-de-santa-catarina/autos-e-pecas/carros-vans-e-utilitarios/308-com-teto-panoramico-1173020319,2023-04-14 17:43:53,2023-04-14 17:55:13
6,BEETLE 2008 TETO + COURO+ RODAS 17 TOP,39900.0,SP,Santo André,Vila Homero Thon,https://sp.olx.com.br/sao-paulo-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/beetle-2008-teto-couro-rodas-17-top-1170447564,2023-04-14 17:43:47,2023-04-14 17:55:13
6,Fiat strada 2021 ,82500.0,RJ,Rio de Janeiro,Abolição,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/fiat-strada-2021-1173020273,2023-04-14 17:43:42,2023-04-14 17:55:13
6,Voyage 11/12,23900.0,RJ,Rio de Janeiro,Honório Gurgel,https://rj.olx.com.br/rio-de-janeiro-e-regiao/autos-e-pecas/carros-vans-e-utilitarios/voyage-11-12-1173020302,2023-04-14 17:43:49,2023-04-14 17:55:13
6,Ônix LTZ Turbo Automático 2022,89900.0,GO,Goiânia,Jardim Planalto,https://go.olx.com.br/grande-goiania-e-anapolis/autos-e-pecas/carros-vans-e-utilitarios/onix-ltz-turbo-automatico-2022-1173020226,2023-04-14 17:43:32,2023-04-14 17:55:14
6,Toyota/ Hilux Srv 3.0 2015 - Cabine Simples Carroceria.,125000.0,PR,Colombo,Santa Terezinha,https://pr.olx.com.br/regiao-de-curitiba-e-paranagua/autos-e-pecas/carros-vans-e-utilitarios/toyota-hilux-srv-3-0-2015-cabine-simples-carroceria-1173020172,2023-04-14 17:43:19,2023-04-14 17:55:14
6,Corsa 96 1.0,10000.0,MS,Campo Grande,Vila Santa Luzia,https://ms.olx.com.br/mato-grosso-do-sul/autos-e-pecas/carros-vans-e-utilitarios/corsa-96-1-0-1173020248,2023-04-14 17:43:38,2023-04-14 17:55:14
6,206 sw 1.4 8v completa aceito troca de menor ou maior  financio sem entrada ,14900.0,RS,Campo Bom,,https://rs.olx.com.br/regioes-de-porto-alegre-torres-e-santa-cruz-do-sul/autos-e-pecas/carros-vans-e-utilitarios/206-sw-1-4-8v-completa-aceito-troca-de-menor-ou-maior-financio-sem-entrada-1173020225,2023-04-14 17:43:32,2023-04-14 17:55:14
